title,brand,year_numeric,mileage_numeric,price_numeric,url,source,scraped_at
Renault kangoo limited edition tce,Renault,2018.0,42000.0,1200.0,https://www.2dehands.be/,2dehands.be,2025-12-10T07:44:41.282956
Renault kangoo  lichte vracht 1.5 cdi automaat 03/2023,Renault,2023.0,3000.0,3000.0,https://www.2dehands.be/,2dehands.be,2025-12-10T07:44:41.283283
BMW 316,BMW,2014.0,109500.0,109500.0,https://www.2dehands.be/,2dehands.be,2025-12-10T07:44:41.283509
2024 Dodge RAM 1500 V8 Limited Night Edition,,2024.0,,1500.0,https://www.2dehands.be/,2dehands.be,2025-12-10T07:44:41.283608
Fiat Fullback Autoutilitare,Fiat,2018.0,170000.0,170000.0,https://www.2dehands.be/,2dehands.be,2025-12-10T07:44:41.283681
Ranger wildtrack 2024 raptor look,,2024.0,100000.0,4000.0,https://www.2dehands.be/,2dehands.be,2025-12-10T07:44:41.283737
Citroen C4 spacetourer 7 zitplatsen,Citroen,2021.0,69000.0,69000.0,https://www.2dehands.be/,2dehands.be,2025-12-10T07:44:41.283801
✅VW Passat 2017 ✅Euro6B✅ €8950✅ met Keuring + onderhoud✅,,2017.0,,8950.0,https://www.2dehands.be/,2dehands.be,2025-12-10T07:44:41.283880
Volkswagen Passat 1.6Tdi 2017/185000km/Euro6/NAV/Cam/GEKEURD,Volkswagen,2017.0,185000.0,185000.0,https://www.2dehands.be/,2dehands.be,2025-12-10T07:44:41.284175
BMW 325i * E90 * IN PERFECTE STAAT * SPORTIEVE UITVOERING,BMW,2008.0,2008.0,2996.0,https://www.2dehands.be/,2dehands.be,2025-12-10T07:44:41.284446
Citroen Berlingo XL  09/2021_8400€ netto_Keuring+Garantie,Citroen,2021.0,69183.0,8400.0,https://www.2dehands.be/,2dehands.be,2025-12-10T07:44:41.284669
Peugeot 5008 automaat leder euro 6 1.6 diesel 7 plaatsen,Peugeot,,,5008.0,https://www.2dehands.be/,2dehands.be,2025-12-10T07:44:44.084953
VW Caddy 2.0 TDI 75kW 102CV 5 zitplaatsen 10/2020,,2020.0,163000.0,163000.0,https://www.2dehands.be/,2dehands.be,2025-12-10T07:44:44.085311
VW Caddy,,2019.0,107400.0,107400.0,https://www.2dehands.be/,2dehands.be,2025-12-10T07:44:44.085717
Automaat benzine 1.6i benzine 155000km,,2009.0,155000.0,155000.0,https://www.2dehands.be/,2dehands.be,2025-12-10T07:44:44.086184
Volkswagen Polo 1.0 tsi  carplay  66kw  bwjr 2019. Euro 6d,Volkswagen,2019.0,,2019.0,https://www.2dehands.be/,2dehands.be,2025-12-10T07:44:44.086877
